FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
13135,5,144,141,187322
13137,1,14,14,6467
13139,2,40,40,35207
13141,1,3,3,953
13143,2,10,10,5762
13145,1,7,7,5275
13147,1,5,5,3480
13149,1,5,5,2054
13151,1,50,50,41930
13153,2,37,37,29003
13155,1,3,3,1760
13157,3,19,19,12773
13159,1,4,4,2422
13161,1,4,4,3143
13163,1,6,6,2685
13165,1,3,3,1172
13167,1,3,3,1166
13169,1,7,7,5370
13171,1,4,4,2736
13173,1,4,4,1773
13175,2,13,13,8996
13177,1,8,8,6447
13179,1,12,12,
13181,1,3,3,1193
13183,1,4,4,3582
13185,3,20,19,19278
13187,1,5,5,3822
13189,2,6,6,4133
13191,1,3,3,1416
13193,1,3,3,1437
13195,2,8,7,5756
13197,1,2,2,1458
13199,1,8,8,2813
13201,1,3,3,1036
13205,3,8,8,3894
13207,1,5,5,4075
13209,1,3,3,917
13211,1,4,4,3152
13213,1,11,11,7471
13215,1,53,53,31643
13217,1,23,23,19682
13219,1,10,10,7503
13221,1,4,4,2112
13223,1,33,33,29018
13225,1,6,6,3639
13227,1,7,7,4403
13229,1,5,5,3656
13231,1,5,5,3328
13233,1,11,11,7780
13235,1,4,4,1373
13237,1,4,4,2965
13239,1,2,2,333
13241,1,4,4,2255
13243,2,4,3,1077
13245,2,59,58,31863
13247,1,18,18,16568
13249,2,2,2,1311
13251,1,3,3,2328
13253,1,2,2,1538
13255,2,18,18,10305
13257,1,6,6,4087
13259,1,3,3,513
13261,1,7,7,4751
13263,1,1,1,491
13265,1,1,1,153
13267,1,7,7,3762
13269,1,5,5,1462
13271,1,3,3,1741
13273,1,3,3,1419
13275,2,12,12,8791
13277,1,11,11,7763
13279,2,9,9,5556
13281,1,3,3,1011
13283,1,2,2,1172
13285,1,18,18,12368
13287,1,4,4,1355
13289,1,3,3,852
13291,1,5,5,2855
13293,1,4,4,4180
13295,2,18,18,10243
13297,2,19,19,15788
13299,2,9,9,6177
13301,1,3,3,609
13303,2,4,4,3117
13305,1,8,8,5524
13307,1,2,2,376
13309,1,3,3,1009
13311,3,8,7,5745
13313,2,31,31,21338
13315,1,3,3,1212
13317,1,4,4,1577
13319,1,4,4,1452
13321,1,5,5,3329
15001,,,,27076
15003,1,290,290,122657
15007,,,,9826
15009,,,,21991
16001,16,138,120,77269
16003,2,3,3,426
16005,6,34,31,14766
16007,1,6,6,1169
16009,2,8,8,1312
16011,8,31,28,10347
16013,2,9,8,3457
16015,3,6,6,766
16017,3,19,18,5109
16019,8,49,44,24028
16021,1,5,5,1446
16023,1,4,4,438
16025,1,2,2,124
16027,15,74,66,40365
16029,3,8,8,1418
16031,1,18,18,5449
16033,1,2,2,126
16035,1,8,8,1110
16037,2,6,6,555
16039,4,16,13,4600
16041,2,9,9,3294
16043,1,8,8,2200
16045,1,9,9,2553
16047,6,10,8,3265
16049,3,10,10,1765
16051,3,15,15,6869
16053,3,9,8,4704
16055,8,45,41,22578
16057,8,20,17,4713
16059,3,8,6,973
16061,3,5,5,761
16063,3,6,6,959
16065,2,15,15,6964
16067,1,12,12,4221
16069,3,15,15,5348
16071,1,6,6,1101
16073,4,10,10,2338
16075,3,13,13,4284
16077,3,7,7,1680
16079,4,9,9,1653
16081,1,7,7,1747
16083,9,34,33,15770
16085,2,8,8,1329
16087,3,9,9,1817
17001,9,28,23,9452
17003,4,5,5,895
17005,2,8,8,2231
17007,3,17,16,9806
17009,1,3,3,733
17011,14,23,23,5162
17013,2,4,4,591
17015,3,9,9,2222
17017,4,8,8,2257
17019,19,60,57,24790
17021,7,22,22,5148
17023,3,8,8,2666
17025,4,8,8,2369
17027,12,18,18,5453
17029,6,23,13,6694
17031,175,1279,1221,774200
17033,5,10,10,2821
17035,2,6,6,1593
17037,13,42,41,16606
17039,2,8,8,2440
17041,4,12,12,3038
17043,50,264,250,147626
17045,6,16,16,3034
17047,1,3,3,931
17049,5,14,14,5151
17051,7,16,11,2944
17053,4,10,10,2645
17055,12,24,19,6240
17057,6,19,19,5131
17059,1,3,3,752
17061,3,6,6,1883
17063,15,30,24,12181
17065,1,4,4,1259
17067,8,13,13,2967
17069,1,3,3,580
17071,1,4,4,829
17073,11,28,26,8425
17075,9,24,23,4411
17077,10,28,20,7180
17079,2,5,4,1397
17081,17,26,21,5978
17083,2,5,5,2602
17085,9,18,17,3344
17087,6,7,7,1852
17089,15,156,143,94437
17091,16,40,36,17937
17093,7,46,42,29456
17095,7,21,21,7041
17097,54,216,201,127904
17099,30,49,45,15890
17101,2,6,6,2199
17103,6,14,14,4291
17105,14,23,21,5876
17107,9,13,13,3637
17109,6,20,12,3453
17111,22,104,103,54535
17113,14,57,53,25755
17115,11,48,44,16262
17117,10,30,26,8459
